Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
Tarmoola Holdings Pty Ltd,Select Carbon Pty Ltd,n/a,Tarmoola Station Regeneration Project,ERF161449,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,17/03/2021,17/03/2021,16/03/2046,Western Australia,6438,"79/D238486/3058/996, 63/D238486/3068/876 

The project is in the SHIRE OF LEONORA local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF161449.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,25/10/2022 Variation to participant name - from NEXT HORIZON 888 MANAGEMENT PTY LTD to Tarmoola Holdings Pty Ltd.,No,Australia
24 DEGREE FOREST PTY LTD,n/a,n/a,24 Degree Forest - Rainforest rehabilitation on slopes and riparian zones - Eden Creek,ERF192249,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,16/03/2024,16/03/2024,15/03/2049,New South Wales,2474,"1/DP113821, 1/DP665516, 1/SP129720, 159/DP668866, 2/DP171087
 
The project is in the KYOGLE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF192249.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
272 Consulting Pty Ltd,n/a,n/a,Ruffy Carbon + Biodiversity project IDR2-1460,ERF182095,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,13/04/2023,1/7/23,30/06/2048,Victoria,3666,"20/TP280520T/10817/123
 
The project is in the STRATHBOGIE SHIRE local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF182095.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
ACCU Asset Management Pty Ltd,PF Olsen (Aus) Pty Limited,n/a,Carbon Conscious Carbon Capture Project 2,EOP100638,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of mallee tree species on land that was previously used for agricultural purposes.,Permanent mallee plantings,n/a,2/6/14,13/12/2014,12/12/39,Western Australia,"6475, 6477, 6479, 6510, 6513, 6515, 6517, 6532, 6535, 6623, 6628, 6630","1229/P229679, 1/P29212, 4/P68470, 4293/P142939, 2/P73241, 3/P68470, 1233/P114065, 9827/P206119, 1228/P229679, 9/P69401, 10099/P208254, 10073/P163429, 2758/P150996, 13/P69401, 1125/P229820, 1702/P130660, 1235/P229679, 24/P73306, 8607/P150470, 4132/P209964, 3100/P143971, 9925/P206123, 10702/P209512, 1577/P229818, 10480/P208786, 1236/P229679, 102/P73236, 1637/P130665, 6612/P82945, 8932/P152541, 1784/P229820, 11464/P215432, 8530/P150936, 1/P72396, 10101/P208983, 4294/P142939, 3461/P163881

The project is in the Carnamah,Chapman Valley,Coorow,Koorda,Moora,Mount Marshall,Mukinbudin,Mullewa,Northampton,Perenjori local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100638.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100638_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,3/10/14,2/10/14,1/12/18,CAC201436,544364,544364,0,0,22573,13882,43446,31662,21453,16312,0,255124,46431,0,93481,Alterra Limited; ACCU Asset Management Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"21/08/2014 Variation to the project area - areas listed in the project have been amended

17/03/2016 Variation to participant name - from Carbon Consious Limited to ALTERRA LIMITED.

12/07/2016 Variation of project method - from the Carbon Credits (Carbon Farming Initiative) (Quantifying Carbon Sequestration by Permanent Mallee Plantings using the Reforestation Modelling Tool) Methodology Determination 2013 to Carbon Credits (Carbon Farming Initiative-Reforestation and Afforestation 2.0) Methodology Determination 2015

05/09/2018 Variation to participant name - from Alterra Limited to ACCU Asset Management Pty Ltd.

06/11/2021 Variation of project method - from the Carbon Credits (Carbon Farming Initiative-Reforestation and Afforestation 2.0) Methodology Determination 2015 to Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings - FullCAM) Methodology Determination 2014",No,Australia
ACCU Asset Management Pty Ltd,PF Olsen (Aus) Pty Ltd,n/a,Carbon Conscious Carbon Capture Project 1,EOP100636,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014,https://www.legislation.gov.au/Details/F2014L01212,Vegetation,This project establishes permanent plantings of mallee eucalypt tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement.,Permanent mallee plantings; Permanent mixed-species environmental planting,n/a,9/9/13,1/7/10,30/06/2035,Western Australia,"6425, 6475, 6477, 6479, 6510, 6513, 6515, 6532","10044/P206116, 10073/P163429, 10101/P208983, 1078/P229818, 1233/P114065, 1455/P215262, 1571/P229808, 1572/P229808, 1574/P229818, 1575/P229818, 1702/P130660, 2/P17322, 225/P86764, 229/P86765, 2531/P154248, 2582/P154254, 2589/P150840, 2758/P150996, 3185/P203995, 4132/P209964, 775/P229649, 8735/P152417, 8932/P152541, 9925/P206123

The project is in the Coorow,Koorda,Moora,Mount Marshall,Mukinbudin,Northampton,Yilgarn local government area.",https://cer.gov.au/sites/default/files/projectFiles/EOP100636.kml,https://cer.gov.au/sites/default/files/projectFiles/EOP100636_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,22/11/2013,21/11/2113,n/a,n/a,432670,432670,0,23443,40110,36867,34816,33231,31677,29835,89240,25058,26647,28306,33440,Alterra Limited; ACCU Asset Management Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"20/03/2014 Variation to the project area - areas listed in the project have been removed

02/06/2014 Variation to the project area - areas listed in the project have been removed 

01/10/2014 Variation of project method - from the (Carbon Farming Initiative)  (Reforestation and Afforestation - 1.1) Methodology Determination 2013 to the Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings - FullCAM) Methodology Determination 2014

05/09/2018 Variation to participant name - from Alterra Limited to ACCU Asset Management Pty Ltd

25/05/2021 This project was contracted in April-15 and CAC194219 has now been completed.",No,Australia
ACF (NO.1) PTY LTD,n/a,n/a,Oreen Station Plantation,ERF201602,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,"This project sequesters carbon by transitioning a plantation forest to a permanent forest, in situations where that plantation is at risk of being converted to non-forested land.",Transitioning of existing plantation forest to a permanent planting,n/a,30/04/2025,30/04/2025,29/04/2050,New South Wales,2440,"Lot 102/DP752423, Lot 44/DP752421, Lot 45/DP752421, Lot 46/DP752421, Lot 78/DP752423, Lot 79/DP752423, Lot 81/DP752423, Lot 82/DP752423, Lot 83/DP752423
 
The project is in the Kempsey local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF201602.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
ACF (NO.1) PTY LTD,n/a,n/a,Maslen Plantation,ERF180943,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,"This project sequesters carbon by transitioning a plantation forest to a permanent forest, in situations where that plantation is at risk of being converted to non-forested land.
",Transitioning of existing plantation forest to a permanent planting,n/a,30/11/2023,30/11/2023,29/11/2048,New South Wales,2422,"1/DP1023751
 
The project is in the OTHER local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF180943.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF180943_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,1/5/25,1/5/25,n/a,n/a,21356,21356,0,0,0,0,0,0,0,0,0,0,0,0,21356,ACF (NO.1) PTY LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
"Adam Richard Nixon and Jolene Louise Nixon as Trustees of the A&J Nixon Family Trust, Kurrajong Partners Pty Ltd",Climate Friendly Pty Ltd,n/a,Kenmore Regeneration Project,ERF126432,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",29/11/2018,29/11/2018,28/11/2043,Queensland,4470,"1/CP844024, 9/CPPR90

The project is in the MURWEH SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF126432.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF126432_CEA.zip,https://cer.gov.au/sites/default/files/projectFiles/ERF126432_CEA_info.pdf,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,30/05/2021,29/05/2046,1/10/20,CAC253294,183565,183565,0,0,0,0,0,0,0,0,55791,37478,15998,30961,43337,Adam Richard Nixon and Jolene Louise Nixon as Trustees of the A&J Nixon Family Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,03/08/2020 Variation to participant name - from Adam Richard Nixon and Jolene Louise Nixon as Trustees of the A&J Nixon Family Trust to Adam Richard Nixon and Jolene Louise Nixon as Trustees of the A&J Nixon Family Trust and Kurrajong Partners Pty Ltd.,No,Australia
AFFINITY CARBON PTY LTD,n/a,n/a,"Emu Creek Bar-Barrum 
",ERF185255,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Exclusion of livestock; Management of plants that are not native to the project area; Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals","Feral Animals; Livestock; Mechanical or chemical destruction, or suppression, of regrowth; Plants not native to the area",29/09/2023,29/09/2023,28/09/2048,Queensland,4887,"3/HG716, 450/OL540
 
The project is in the MAREEBA SHIRE local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF185255.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AgCarbon 2020 Pty Ltd,n/a,n/a,North Stirling Downs Project,ERF157719,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,23/07/2020,23/07/2020,22/07/2045,Western Australia,"6320, 6335, 6338","1/D39930/1600/523, 2264/D133961/1314/66, 2268/D134150/1314/66, 2269/D133962, 2342/P134151, 3/D62691/1649/269, 3035/P079657, 3275/P079657, 6066/D207567/1501/254, 6067/D207567/1381/121
 
The project is in the SHIRE OF BROOMEHILL-TAMBELLUP, SHIRE OF GNOWANGERUP local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF157719.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,20/09/2024 Variation to the project area - areas listed in the project have been removed.,No,Australia
AGRIPROVE SOLUTIONS PTY LTD,Imogen Hickey,n/a,Swartz Planting Project,ERF197899,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,9/9/24,9/9/24,8/9/49,Queensland,4702,"1498/CPLIV40412
 
The project is in the Rockhampton local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF197899.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Myall Station,ERF173320,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,26/03/2022,26/03/2022,25/03/2047,New South Wales,2836,"3695/DP766077 

The project is in the CENTRAL DARLING SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173320.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Klondyke Station,ERF173331,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,26/03/2022,26/03/2022,25/03/2047,New South Wales,2836,"3693/DP766075 

The project is in the CENTRAL DARLING SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173331.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,1/4/22,CAC260160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Weinteriga Station,ERF173293,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,25/03/2022,25/03/2022,24/03/2047,New South Wales,2836,"3728/DP766141

The project is in the CENTRAL DARLING SHIRE COUNCIL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173293.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC511328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Paroo Station Aggregation,ERF173314,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,25/03/2022,25/03/2022,24/03/2047,New South Wales,"2836, 2840","1/DP1017568, 1/DP1084490, 1372/DP763099, 2/DP1058420, 2/DP1084490, 3688/DP766070, 3689/DP766071, 3694/DP766076, 3698/DP766080, 3699/DP766081, 3982/DP766455, 5135/DP720098, 979/DP762179, 980/DP762180
 
The project is in the CENTRAL DARLING SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF173314.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,1/4/22,CAC962552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,06/09/2024 Variation to the project area - areas listed in the project have been removed,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Wilkurra Station,ERF173231,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,Exclusion of livestock,Livestock,22/03/2022,22/03/2022,21/03/2047,New South Wales,2648,"1148/DP765676, 3389/DP765676 

The project is in the WENTWORTH SHIRE COUNCIL, Wentworth Shire Council local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF173231.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,1/4/22,CAC979222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Peppora Station,ERF168132,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,29/09/2021,29/09/2021,28/09/2046,New South Wales,2879,"2152/DP764077, 3792/DP766205, 3793/DP766206, 449/DP761256, 6648/DP725365
 
The project is in the WENTWORTH SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF168132.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF168132_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,27/05/2025,27/05/2050,1/10/21,CAC218963,13044,13044,0,0,0,0,0,0,0,0,0,0,0,0,13044,AI CARBON PROJECTS NO 3 PTY LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"10/11/2023 Variation to the project area - areas listed in the project have been removed

11/07/2024 Variation of project name - from AI Carbon No.3 NSW PS to Peppora Station.",No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Tolarno Station,ERF168137,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,29/09/2021,29/09/2021,28/09/2046,New South Wales,2879,"1170/DP762576, 4740/DP762608, 5580/DP768480, 5585/DP768485, 5592/DP768492, 5691/DP768591, 62/DP760373, 69/DP760378
 
The project is in the CENTRAL DARLING SHIRE COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF168137.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF168137_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,27/05/2025,27/05/2050,1/10/21,CAC757485,15229,15229,0,0,0,0,0,0,0,0,0,0,0,0,15229,AI CARBON PROJECTS NO 3 PTY LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"25/10/2023 Variation to the project area - areas listed in the project have been removed

12/07/2024 Variation of project name - from AI Carbon No.3 NSW TS to Tolarno Station.",No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Orange Creek Station,ERF183536,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,29/09/2023,29/09/2023,28/09/2048,Northern Territory,872,"3811/SS89-086, 5170/SS2003-15A-C, 652/CPCP5213
 
The project is in the MACDONNELL REGIONAL COUNCIL local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF183536.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Oakvale Station,ERF183434,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2023,22/03/2023,21/03/2048,South Australia,5417,"6180/92
 
The project is in the PASTORAL UNINCORPORATED AREA local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF183434.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
AI CARBON PROJECTS NO 3 PTY LTD,n/a,n/a,Kondoolka Station,ERF183534,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,22/03/2023,22/03/2023,21/03/2048,South Australia,5700,"6172/358
 
The project is in the PASTORAL UNINCORPORATED AREA local government area(s).",https://cer.gov.au/sites/default/files/projectFiles/ERF183534.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,Australia
