Project_Name,Id,Developer,proponent_country_manual,Registry,Methodology,Sector,Country,Project.Status,Crediting.Period.Start,Crediting.Period.End,Annual.Est..Units,Total.Issued.Units,Total.Retired.Units,Total.Available.Units
Proyecto Forestal Alcaraván Orinoquía,BCR-CO-CO-14-003,"CO2CERO SAS, ECOLOGIC SAS, SULTANA SAS, ENLACE ROJO SAS, ECOSISTEMA PRODUCTIVO MATAEMONTE SAS, LUIS FERNANDO RODRIGUEZ, INVERSIONES GUARDABOSQUES DE COLOMBIA, CLAUDIA HUERFANO y PUNTA DE GARZAS INVERSIONES FORESTALES.",,BioCarbon Standard,BCR0001_ARR Activities,Forestry,Colombia,Rejected,,,0,0,0,0
Proyecto Forestal Fundación Obra Social Redentorista Señor de los Milagros,PCR-CO-630-142-001,Fundación Obra Social Redentorista Señor de los Milagros,,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,Registered,,,0,348344,149545,198799
Proyecto Forestal CO2Cero Reforestadores Vichada-Meta,PCR-CO-ECO-14-003,"Participantes de la iniciativa Agrolar SAS, Bazim SAS, Agroforestales Bonanza SAS, Carlos Beltrán, Compadres SAS, El Capricho Vichada SAS, Hernán Trujillo, Inversiones Guardabosques de Colombia SAS, La Fortuna Andrea SAS, Punta de Garzas Inversiones Forestales SAS y Terramax SAS.",,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,De-registered,,,0,0,0,0
Proyecto Forestal CO2CERO Meta09,PCR-CO-CO-14-001,"La empresa Industrias y Plantaciones S.A.S, por medio de su representante legal Tomás Echeverry Fajardo.",,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,De-registered,,,0,0,0,0
Proyecto Forestal El Dorado,BCR-CO-956-14-001,Reforestadora El Dorado,,BioCarbon Standard,BCR0001_ARR Activities,Forestry,Colombia,Listed,,,0,0,0,0
Proyecto Forestal MAVALLE en plantaciones de Caucho natural,PCR-CO-164-142-001,"Carbo Sostenible S.A.S., FONCAP, y Sociedad Mavalle",,BioCarbon Standard,BCR0001_ARR Activities,Forestry,Colombia,Registered,,,0,1917280,737015,1180265
Proyecto Forestal CO2Cero Caucho PL UNO,PCR-CO-ECO-14-001,"Rubberland de Colombia Ltda, Biorecursos S.A.S, Agropecuaria DALI S.A.S, Agromontana S.A.S, Heveas de la Llanura S.A.S., Agrolatex S.A., Invereste S.A.S. y Sifagro Ltda.",,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,De-registered,,,0,0,0,0
Proyecto de Carbono Forestal Vichada Alianza Fiduciaria S.A.,BCR-CO-139-14-001,Alianza Fiduciaria S.A. - Fideicomiso,,BioCarbon Standard,BCR0001_ARR Activities,Forestry,Colombia,Listed,,,0,0,0,0
Proyecto Forestal CO2Cero Caucho El Viento,PCR-CO-ECO-14-002,"Carimagro S.A.S., Agroforestal El Encanto S.A.S., Vapinsa S.A.S., Agroganadería El Viento S.A., Exro Agrícola RL S.A.S y Agropecuaria Mayoragua S.A.S.",,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,De-registered,,,0,0,0,0
PROYECTO DE CARBONO FORESTAL ORGANIZACIÓN LA PRIMAVERA,PCR-CO-697-142-001,ORGANIZACION LA PRIMAVERA,,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,Registered,,,0,130068,56581,73487
"PRJ11- Forest Reserve - Kluang, Johor, MY",BCR-MY-319-14-003,Besgrade Plywood Sdn Bhd/ Homebase Plantation Sdn Bhd/ Carbon Vault Sdn Bhd,,BioCarbon Standard,BCR0001_ARR Activities,Forestry,Malaysia,Rejected,,,0,0,0,0
Proyecto de Mitigación Forestal Resguardo Indígena TICOYA,PCR-CO-ATI-14-001,"Resguardo Indígena Tikuna, Cocama y Yagua (TICOYA), South Pole Carbon Asset Management S.A.S",,BioCarbon Standard,BCR0002_Quantification of GHG Emission Reductions. REDD+ Projects,Forestry,Colombia,Registered,,,0,732433,80282,652151
"PRJ10- Forest Reserve - Gurun, Kedah, MY",BCR-MY-319-14-006,Besgrade Plywood Sdn Bhd/ Greenton Plantation Sdn Bhd/ Carbon Vault Sdn Bhd,,BioCarbon Standard,BCR0001_ARR Activities,Forestry,Malaysia,Rejected,,,0,0,0,0
Project for Forestry Restoration in Productive and Biological Corridors in the Eastern Plains of Colombia,BCR-CO-261-14-001,"Organización La Primavera S.A., Bosques de la Orinoquía S.A., Bosques de La Primavera S.A., the María Padres Monfortianos Company, the Reforestadora Guacamayas S.A, Incomser Ltda  and the Reforestadora Los Cambulos S.A.S",,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,Registered,,,0,8824117,3383493,5440624
Commercial reforestation on lands dedicated to extensive cattle grazing activities in the region of Magdalena Bajo Seco,BCR-CO-656-14-001,ONF INTERNATIONAL,,BioCarbon Standard,CDM - AR-ACM0003,Forestry,Colombia,Registered,,,0,540771,5540,535231
Reforestación de la Cuenca del Río Cauca,BCR-CO-313-14-002,María González,,BioCarbon Standard,Cuantificación de la reducción de emisiones de GEI. Actividades que evitan el cambio de uso de la tierra en sabanas naturales,Forestry,Colombia,Rejected,,,0,0,0,0
Forestal y Papelera Concepción Biomass Residues Cogeneration Plant in Chile.,RJUMUY7H78XO06ZMLQKLNGC02ZJWS4,"CORDFELIM, DEUMAN",,CDM Registry,CDM - ACM0006,Energy industries (renewable - / non-renewable sources),Chile,Validated,2007-01-01T00:00:00.000Z,2013-12-31T18:00:00.000Z,0,0,0,0
"Small scale Lalitpur JFM A/R CDM Project on degraded lands in Lalitpur Forest Division, Uttar Pradesh, India",4LYQJRQB7IHN7V6SL1YB9NO5PN3T5G,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Use of charcoal from renewable biomass originated from forest plantations as reducing agent in the production of primary iron in the Vallourec & Sumitomo Tubos do Brasil Ltda (VSB) steel complex, Jeceaba/MG, Brazil",ZPPVE4B815BQDZLKKFZOL3RUBJ0KJ4,Charconsulting,,CDM Registry,CDM - AM0082,Metal production,Brazil,Withdrawn,2015-01-01T00:00:00.000Z,2021-12-31T00:00:00.000Z,0,0,0,0
"Reforestation, sustainable production and carbon sequestration project in José Ignacio Távara´s dry forest, Piura, Peru",T68OFUF9QR5G6N39E07UO2FNYYKZTV,AIDER,,CDM Registry,CDM - AR-AM0003,Afforestation and reforestation,Peru,Registered,2009-11-02T00:00:00.000Z,2029-11-01T00:00:00.000Z,0,0,0,0
"Small scale Jhansi JFM A/R CDM Project on degraded lands in Jhansi Forest Division, Uttar Pradesh, India",IKMQQ2OSVS8ABEPEZRAFY9AERSEKH5,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,5464,5464,0,5464
"Small scale Kashi JFM A/R CDM Project on degraded lands in Kashi Forest Division, Uttar Pradesh, India",CPKJHVLPKX554G6128M1PRS09GZEAO,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,0,0,0,0
"Restoration of Degraded Lands through Reforestation in MAU Forest Complex, Kenya",DMCO1TBUCORJZSM7R0MZ5P4RXGWN5T,n.a.,,CDM Registry,CDM - AR-ACM0003,Afforestation and reforestation,Kenya,Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Small scale Allahabad JFM A/R CDM Project on degraded lands in Allahabad Forest Division, Uttar Pradesh, India",TI6KZWRWSNBF6AKYZVQEQ482U3AJR1,n.a.,,CDM Registry,CDM - AR-AMS0007,Afforestation and reforestation,India,Registered,2012-01-01T00:00:00.000Z,2031-12-31T00:00:00.000Z,9157,9157,0,9157
